iter	Passed	Remaining
660	6345	3254
661	6354	3244
662	6365	3235
663	6375	3226
664	6386	3217
665	6397	3208
666	6406	3198
667	6415	3188
668	6424	3178
669	6433	3168
670	6442	3158
671	6450	3148
672	6460	3138
673	6468	3128
674	6478	3119
675	6486	3109
676	6496	3099
677	6505	3089
678	6515	3080
679	6525	3070
680	6534	3060
681	6543	3050
682	6551	3040
683	6559	3030
684	6568	3020
685	6576	3010
686	6585	3000
687	6594	2990
688	6602	2980
689	6611	2970
690	6620	2960
691	6628	2950
692	6637	2940
693	6646	2930
694	6655	2920
695	6664	2910
696	6673	2901
697	6682	2891
698	6691	2881
699	6699	2871
700	6708	2861
701	6716	2851
702	6725	2841
703	6733	2831
704	6742	2821
705	6750	2811
706	6759	2801
707	6768	2791
708	6778	2781
709	6786	2772
710	6795	2762
711	6804	2752
712	6813	2742
713	6821	2732
714	6831	2723
715	6840	2713
716	6848	2703
717	6857	2693
718	6865	2683
719	6874	2673
720	6882	2663
721	6891	2653
722	6901	2644
723	6909	2634
724	6919	2624
725	6927	2614
726	6937	2605
727	6945	2595
728	6955	2585
729	6964	2575
730	6973	2566
731	6983	2556
732	6991	2546
733	7000	2537
734	7009	2527
735	7018	2517
736	7027	2507
737	7036	2498
738	7045	2488
739	7054	2478
740	7062	2468
741	7071	2458
742	7081	2449
743	7089	2439
744	7098	2429
745	7106	2419
746	7115	2410
747	7124	2400
748	7132	2390
749	7142	2380
750	7151	2371
751	7160	2361
752	7169	2351
753	7177	2341
754	7186	2332
755	7195	2322
756	7204	2312
757	7212	2302
758	7221	2292
759	7230	2283
760	7238	2273
761	7247	2263
762	7256	2253
763	7265	2244
764	7275	2234
765	7285	2225
766	7295	2216
767	7305	2206
768	7314	2197
769	7324	2187
770	7334	2178
771	7345	2169
772	7354	2159
773	7364	2150
774	7374	2140
775	7382	2131
776	7391	2121
777	7399	2111
778	7407	2101
779	7416	2091
780	7425	2082
781	7434	2072
782	7442	2062
783	7451	2053
784	7460	2043
785	7468	2033
786	7477	2023
787	7486	2014
788	7494	2004
789	7502	1994
790	7510	1984
791	7519	1974
792	7528	1965
793	7537	1955
794	7547	1946
795	7555	1936
796	7564	1926
797	7575	1917
798	7587	1908
799	7596	1899
800	7605	1889
801	7614	1879
802	7623	1870
803	7632	1860
804	7641	1851
805	7651	1841
806	7660	1832
807	7670	1822
808	7678	1812
809	7688	1803
810	7697	1793
811	7706	1784
812	7716	1774
813	7724	1765
814	7734	1755
815	7743	1746
816	7752	1736
817	7761	1726
818	7771	1717
819	7780	1707
820	7789	1698
821	7798	1688
822	7808	1679
823	7817	1669
824	7827	1660
825	7839	1651
826	7851	1642
827	7860	1632
828	7869	1623
829	7877	1613
830	7887	1604
831	7896	1594
832	7905	1584
833	7914	1575
834	7923	1565
835	7934	1556
836	7942	1546
837	7952	1537
838	7961	1527
839	7970	1518
840	7981	1508
841	7991	1499
842	8000	1490
843	8009	1480
844	8019	1471
845	8029	1461
846	8038	1452
847	8047	1442
848	8055	1432
849	8064	1423
850	8072	1413
851	8082	1403
852	8091	1394
853	8113	1387
854	8122	1377
855	8130	1367
856	8139	1358
857	8148	1348
858	8157	1339
859	8167	1329
860	8177	1320
861	8187	1310
862	8196	1301
863	8207	1291
864	8218	1282
865	8228	1273
866	8236	1263
867	8246	1254
868	8254	1244
869	8264	1234
870	8273	1225
871	8283	1215
872	8292	1206
873	8301	1196
874	8312	1187
875	8320	1177
876	8330	1168
877	8339	1158
878	8348	1149
879	8357	1139
880	8365	1129
881	8374	1120
882	8382	1110
883	8391	1101
884	8400	1091
885	8409	1081
886	8417	1072
887	8426	1062
888	8434	1053
889	8443	1043
890	8452	1034
891	8460	1024
892	8469	1014
893	8478	1005
894	8487	995
895	8496	986
896	8506	976
897	8515	967
898	8525	957
899	8533	948
900	8542	938
901	8550	929
902	8559	919
903	8568	909
904	8577	900
905	8585	890
906	8596	881
907	8608	872
908	8618	862
909	8627	853
910	8636	843
911	8644	834
912	8654	824
913	8663	815
914	8671	805
915	8680	796
916	8689	786
917	8698	776
918	8707	767
919	8716	757
920	8725	748
921	8735	739
922	8744	729
923	8753	719
924	8761	710
925	8770	700
926	8778	691
927	8787	681
928	8795	672
929	8804	662
930	8813	653
931	8824	643
932	8834	634
933	8843	624
934	8852	615
935	8860	605
936	8869	596
937	8878	586
938	8888	577
939	8897	567
940	8905	558
941	8915	548
942	8924	539
943	8933	529
944	8958	521
945	8968	511
946	8977	502
947	8987	492
948	8996	483
949	9005	473
950	9014	464
951	9022	454
952	9031	445
953	9040	435
954	9049	426
955	9057	416
956	9065	407
957	9073	397
958	9082	388
959	9091	378
960	9099	369
961	9108	359
962	9117	350
963	9125	340
964	9133	331
965	9142	321
966	9150	312
967	9158	302
968	9167	293
969	9175	283
970	9183	274
971	9193	264
972	9202	255
973	9210	245
974	9219	236
975	9228	226
976	9237	217
977	9246	207
978	9254	198
979	9263	189
980	9272	179
981	9280	170
982	9289	160
983	9298	151
984	9306	141
985	9315	132
986	9325	122
987	9334	113
988	9344	103
989	9353	94
990	9364	85
991	9374	75
992	9384	66
993	9394	56
994	9402	47
995	9411	37
996	9420	28
997	9431	18
998	9441	9
999	9452	0
